cod_ibge,sim_obitos_calor_total,gal_positivos_total,gal_testes_total,municipio,regional_saude,populacao_2025,tmax,utci_proxy,risco_cumulativo_3d,pm25_ugm3,score_saude_v9,score_exposicao_v9,score_priorizacao_v9,nivel_priorizacao_v9,tem_modelagem_temporal
5103205,1468.0,778.0,11647.0,Colíder,ERS Colíder,33649,31.071428571428573,30.722857142857148,5.60604186824103,,90.56338028169014,74.01408450704226,83.12,alto,0
5100201,663.0,322.0,2663.0,Água Boa,ERS Água Boa,26204,32.41428571428572,31.414285714285715,6.229972963679951,,79.43661971830986,79.19014084507042,79.33,alto,0
5106422,1163.0,231.0,2072.0,Peixoto de Azevedo,ERS Peixoto de Azevedo,35338,30.97142857142857,30.645714285714288,5.344909642199793,,84.92957746478874,71.19718309859155,78.75,alto,0
5103353,661.0,218.0,1161.0,Confresa,ERS Porto Alegre do Norte,31510,32.542857142857144,31.89714285714286,7.16136373337812,,76.7605633802817,80.80985915492957,78.58,alto,0
5104104,1024.0,1002.0,8906.0,Guarantã do Norte,ERS Peixoto de Azevedo,36130,30.657142857142855,30.34857142857143,4.592960919876153,,88.45070422535211,65.91549295774648,78.31,alto,0
5100250,2068.0,228.0,2275.0,Alta Floresta,ERS Alta Floresta,51959,29.599999999999998,29.622857142857146,4.801959223785289,,88.87323943661971,62.21830985915493,76.88,alto,0
5107925,1741.0,4547.0,38354.0,Sorriso,ERS Sinop,92769,29.514285714285712,29.131428571428575,3.7941405038018243,,95.2112676056338,53.028169014084504,76.23,alto,0
5107909,3587.0,2566.0,20939.0,Sinop,ERS Sinop,146005,29.214285714285715,29.014285714285716,3.313461143869241,,97.46478873239437,47.09507042253521,74.8,alto,0
5102603,546.0,188.0,2871.0,Campinápolis,ERS Barra do Garças,16919,32.34285714285714,31.222857142857144,5.7913036468513805,,71.40845070422534,77.67605633802818,74.23,alto,0
5106257,849.0,46.0,492.0,Nova Xavantina,ERS Barra do Garças,20944,31.728571428571428,30.740000000000006,5.474547743890609,,73.38028169014085,74.33098591549296,73.81,alto,0
5105150,1987.0,1474.0,10146.0,Juína,ERS Juína,41101,28.400000000000002,28.41714285714286,3.8109130472152595,,94.64788732394365,45.17605633802816,72.39,alto,0
5102702,636.0,246.0,2057.0,Canarana,ERS Água Boa,21842,31.642857142857142,30.848571428571432,4.105033058389951,,76.19718309859155,67.2887323943662,72.19,alto,0
5108402,10955.0,5649.0,74261.0,Várzea Grande,ERS Cuiabá,287526,27.37142857142857,27.045714285714286,3.757523167980973,,99.29577464788733,37.21830985915493,71.36,alto,0
5105580,459.0,142.0,1533.0,Marcelândia,ERS Colíder,10301,31.042857142857144,30.791428571428575,6.0175823149409124,,64.92957746478874,75.35211267605634,69.62,moderado,0
5105606,521.0,283.0,3432.0,Matupá,ERS Peixoto de Azevedo,16793,30.62857142857143,30.331428571428575,4.507816799146267,,73.02816901408451,64.8943661971831,69.37,moderado,0
5103254,576.0,52.0,1204.0,Colniza,ERS Juína,39861,30.142857142857142,30.10857142857143,5.787366386589729,,67.32394366197184,69.06690140845069,68.11,moderado,0
5105101,1361.0,124.0,1290.0,Juara,ERS Juara,35121,28.942857142857143,28.86285714285714,3.9470623715068607,,82.53521126760565,50.017605633802816,67.9,moderado,0
5108600,472.0,182.0,1428.0,Vila Rica,ERS Porto Alegre do Norte,26496,31.02857142857143,30.49142857142857,4.178539922991502,,66.90140845070422,65.38732394366197,66.22,moderado,0
5103403,25555.0,15171.0,151425.0,Cuiabá,ERS Cuiabá,618124,26.714285714285715,26.462857142857143,2.3858181474019253,,100.0,23.732394366197184,65.68,moderado,0
5101704,1290.0,378.0,1279.0,Barra do Bugres,ERS Tangará da Serra,35307,27.414285714285715,27.237142857142857,3.699280945048128,,88.02816901408451,38.20422535211268,65.61,moderado,0
5101407,532.0,89.0,600.0,Aripuanã,ERS Juína,22714,29.428571428571427,29.520000000000003,5.16297899039848,,67.88732394366197,62.53521126760563,65.48,moderado,0
5105259,928.0,696.0,8266.0,Lucas do Rio Verde,ERS Sinop,67620,28.814285714285713,28.397142857142857,2.976562193493217,,86.05633802816901,40.3169014084507,65.47,moderado,0
5107602,7954.0,1742.0,8180.0,Rondonópolis,ERS Rondonópolis,236042,27.2,26.754285714285714,1.874471030919537,,97.74647887323945,24.471830985915492,64.77,moderado,0
5106299,414.0,150.0,3197.0,Paranaíta,ERS Alta Floresta,11244,29.82857142857143,29.834285714285716,4.882390302006734,,64.7887323943662,64.52464788732394,64.67,moderado,0
5108055,471.0,69.0,1030.0,Terra Nova do Norte,ERS Peixoto de Azevedo,9473,30.74285714285714,30.36571428571429,4.644339756422418,,62.25352112676056,66.51408450704226,64.17,moderado,0
5107065,304.0,261.0,2631.0,Querência,ERS Água Boa,17937,30.842857142857145,30.42571428571429,4.4850778676824845,,62.53521126760563,66.05633802816902,64.12,moderado,0
5107040,1577.0,861.0,8754.0,Primavera do Leste,ERS Rondonópolis,63092,27.8,27.30857142857143,1.8294140141540693,,91.26760563380282,27.85211267605634,62.73,moderado,0
5107701,784.0,196.0,882.0,Rosário Oeste,ERS Diamantino,17054,27.87142857142857,27.52285714285714,3.898508238618824,,78.0281690140845,42.74647887323944,62.15,moderado,0
5108501,357.0,384.0,3438.0,Vera,ERS Sinop,11402,29.7,29.317142857142862,3.67394147822042,,67.3943661971831,53.45070422535211,61.12,moderado,0
5107180,281.0,10.0,94.0,Ribeirão Cascalheira,ERS Água Boa,10329,32.642857142857146,31.68285714285715,6.394869890928133,,44.78873239436619,80.56338028169014,60.89,moderado,0
5102793,498.0,6.0,128.0,Carlinda,ERS Alta Floresta,10199,30.542857142857144,30.342857142857145,5.52583705969822,,53.239436619718305,70.07042253521126,60.81,moderado,0
5103106,185.0,48.0,488.0,Cocalinho,ERS Água Boa,5681,33.25714285714286,32.120000000000005,7.462366273836218,,42.183098591549296,82.35915492957746,60.26,moderado,0
5106224,606.0,606.0,5294.0,Nova Mutum,ERS Sinop,46813,28.485714285714288,28.057142857142857,2.451600401834824,,78.59154929577466,36.02112676056338,59.43,moderado,0
5104559,236.0,214.0,2099.0,Itaúba,ERS Colíder,3704,29.82857142857143,29.708571428571428,5.092074573488435,,54.92957746478873,64.66549295774647,59.31,moderado,0
5107859,355.0,2.0,47.0,São Félix do Araguaia,ERS São Félix do Araguaia,11843,31.357142857142858,30.900000000000006,5.500187432152854,,44.929577464788736,74.92957746478874,58.43,moderado,0
