cod_ibge,municipio,lat,lon,data,municipio_met,lat_met,lon_met,tmax,tmin,tmedia_ref,umidade_media,vento_max,radiacao,fonte,tmedia,heat_index,utci_proxy,limiar_p95_tmedia,p95_tmedia_origem,excesso_tmedia_p95,dia_acima_p95_tmedia,duracao_onda_calor_dias,onda_calor_p95_2d,evento_onda_calor_id,intensidade_onda_calor,severidade_onda_calor,tmedia_3d,tmedia_30d,ehf_adaptado,risco_calor_diario,risco_cumulativo_3d,municipio_press,atendimentos_total,atendimentos_calor,pressao_calor_pct,fonte_pressao,zscore_pressao,ewma_pressao,cusum_pressao,municipio_cap,municipio_stock,autonomia_min_dias,municipio_infra,unidades,unidades_falha,falhas_infra_pct,municipio_busca,cobertura_busca_pct,municipio_com,hora_alerta_inmet,hora_boletim_municipal,canal,status,latencia_horas,municipio_sivep,casos_srag,uti,obitos,letalidade_pct,zscore_srag,municipio_lacen,testes,positivos,positividade_pct,zscore_positividade,municipio_sim,obitos_total,obitos_calor_suspeitos,municipio_rum,rumores_total,score_sentinela,rumores_criticos,municipio_ar,pm25_ugm3,pm10_ugm3,o3_ugm3,no2_ugm3,co_mgm3,so2_ugm3,fonte_ar,lat_ar,lon_ar,iq_ar_score,qualidade_ar_nivel,poluente_dominante,motivo_qualidade_ar,indice_qualidade_ar_operacional,latencia_comunicacao_horas,positividade_lacen_pct,indice_resiliencia,resil_capacidade_leitos,resil_estoque,resil_infraestrutura,resil_busca_ativa,resil_comunicacao,nivel,score,motivo,data_referencia,ocupacao_leitos_pct,leitos_total,leitos_sus,leitos_ocupados,leitos_bloqueados_movimento,leitos_higienizacao,leitos_reservados,ultima_movimentacao_ocupacao,fonte_ocupacao,leitos_livres
5101258,Araputanga,-15.221879310344828,-58.486941379310345,2026-07-29,Araputanga,-15.221879310344828,-58.486941379310345,32.6,24.5,,59.0,16.4,,openmeteo,28.55,38.18216967596448,31.560000000000002,27.71,p95_proxy_previsao_q70,0.8399999999999999,1,2,1,1,0.8399999999999999,1,28.05,26.478571428571428,,3.88554241899112,7.943086083286175,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,0,13.6,54.3,0,0,0,0,laranja,2,UTCI/proxy 31.6 entre 26 e 32; Tmax 32.6 sem gatilho; risco cumulativo 3d 7.94 atingiu laranja; onda de calor P95 ≥ 2 dias detectada; pressão assistencial indisponível; ocupação de leitos 45.65 sem gatilho; z-score assistencial indisponível; Autonomia de insumos indisponível/infinita; falhas infraestrutura % indisponível,2026-07-29,45.6541947478503,,,,,,,,INDICASUS_TEMPO_REAL_ESTADUAL_FALLBACK,
5101308,Arenápolis,-14.495017647058823,-56.863564705882354,2026-07-29,Arenápolis,-14.495017647058823,-56.863564705882354,33.7,23.0,,65.0,12.1,,openmeteo,28.35,43.45973437295109,32.900000000000006,27.68,p95_proxy_previsao_q70,0.6700000000000017,1,2,1,1,0.6700000000000017,1,27.983333333333334,26.914285714285715,,5.93493359323778,13.813554854553367,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,0,13.6,54.3,0,0,0,0,vermelha,3,UTCI/proxy 32.9 entre 32 e 38; Tmax 33.7 sem gatilho; risco cumulativo 3d 13.81 atingiu vermelha; onda de calor P95 ≥ 2 dias detectada; pressão assistencial indisponível; ocupação de leitos 45.65 sem gatilho; z-score assistencial indisponível; Autonomia de insumos indisponível/infinita; falhas infraestrutura % indisponível,2026-07-29,45.6541947478503,,,,,,,,INDICASUS_TEMPO_REAL_ESTADUAL_FALLBACK,
5101407,Aripuanã,-10.1669824,-59.7947496,2026-07-29,Aripuanã,-10.1669824,-59.7947496,31.9,22.3,,83.0,6.3,,openmeteo,27.1,45.29336446015128,31.82,27.5,p95_proxy_previsao_q70,0.0,0,0,0,0,0.0,0,27.350000000000005,27.05,,3.3233411150378203,14.157862089920048,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,0,13.6,54.3,0,0,0,0,vermelha,3,UTCI/proxy 31.8 entre 26 e 32; Tmax 31.9 sem gatilho; risco cumulativo 3d 14.16 atingiu vermelha; onda de calor P95 ≥ 2 dias não detectada; pressão assistencial indisponível; ocupação de leitos 45.65 sem gatilho; z-score assistencial indisponível; Autonomia de insumos indisponível/infinita; falhas infraestrutura % indisponível,2026-07-29,45.6541947478503,,,,,,,,INDICASUS_TEMPO_REAL_ESTADUAL_FALLBACK,
5101605,Barão de Melgaço,-16.870240983606557,-56.226375409836066,2026-07-29,Barão de Melgaço,-16.870240983606557,-56.226375409836066,34.9,24.0,,52.0,16.2,,openmeteo,29.45,41.22944038897558,33.58,29.330000000000002,p95_proxy_previsao_q70,0.11999999999999744,1,1,0,2,0.0,0,29.299999999999997,28.271428571428572,,4.007360097243891,16.63057236541279,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,0,13.6,54.3,0,0,0,0,vermelha,3,UTCI/proxy 33.6 entre 32 e 38; Tmax 34.9 sem gatilho; risco cumulativo 3d 16.63 atingiu vermelha; onda de calor P95 ≥ 2 dias não detectada; pressão assistencial indisponível; ocupação de leitos 45.65 sem gatilho; z-score assistencial indisponível; Autonomia de insumos indisponível/infinita; falhas infraestrutura % indisponível,2026-07-29,45.6541947478503,,,,,,,,INDICASUS_TEMPO_REAL_ESTADUAL_FALLBACK,
5101704,Barra do Bugres,-15.038595192307692,-57.670274038461535,2026-07-29,Barra do Bugres,-15.038595192307692,-57.670274038461535,35.4,25.4,,52.0,15.3,,openmeteo,30.4,42.48646297027549,34.08,28.83,p95_proxy_previsao_q70,1.5700000000000003,1,2,1,1,1.5700000000000003,2,29.433333333333334,28.164285714285715,,7.771615742568871,16.309982854446112,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,0,13.6,54.3,0,0,0,0,vermelha,3,UTCI/proxy 34.1 entre 32 e 38; Tmax 35.4 sem gatilho; risco cumulativo 3d 16.31 atingiu vermelha; onda de calor P95 ≥ 2 dias detectada; pressão assistencial indisponível; ocupação de leitos 45.65 sem gatilho; z-score assistencial indisponível; Autonomia de insumos indisponível/infinita; falhas infraestrutura % indisponível,2026-07-29,45.6541947478503,,,,,,,,INDICASUS_TEMPO_REAL_ESTADUAL_FALLBACK,
5101803,Barra do Garças,-15.8901,-52.2567,2026-07-29,Barra do Garças,-15.357993670886076,-52.45209873417721,32.9,23.8,,32.0,19.6,,openmeteo,28.35,32.1695678618645,31.1,30.5,p95_proxy_previsao_q70,0.0,0,0,0,0,0.0,0,28.05,30.05666666666667,,0.042391965466125114,0.042391965466125114,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,0,9.6,38.5,0,0,0,0,amarela,1,UTCI/proxy 31.1 entre 26 e 32; Tmax 32.9 sem gatilho; risco cumulativo 3d 0.04 sem gatilho; onda de calor P95 ≥ 2 dias não detectada; pressão assistencial indisponível; ocupação de leitos 61.50 sem gatilho; z-score assistencial indisponível; Autonomia de insumos indisponível/infinita; falhas infraestrutura % indisponível,2026-07-29,61.5023474178404,213,179,131,13,61,8,2026-06-19 08:57:00,INDICASUS_TEMPO_REAL,82.0
5101837,Boa Esperança do Norte,-13.46319793731044,-54.94174297100683,2026-07-29,Boa Esperança do Norte,-13.46319793731044,-54.94174297100683,33.4,22.4,,50.0,9.6,,openmeteo,27.9,37.10907787180442,32.0,27.9,p95_proxy_previsao_q70,0.0,0,0,0,0,0.0,0,27.7,27.407142857142855,,1.2772694679511059,6.586345325168887,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,0,13.6,54.3,0,0,0,0,amarela,1,UTCI/proxy 32.0 entre 26 e 32; Tmax 33.4 sem gatilho; risco cumulativo 3d 6.59 atingiu amarela; onda de calor P95 ≥ 2 dias não detectada; pressão assistencial indisponível; ocupação de leitos 45.65 sem gatilho; z-score assistencial indisponível; Autonomia de insumos indisponível/infinita; falhas infraestrutura % indisponível,2026-07-29,45.6541947478503,,,,,,,,INDICASUS_TEMPO_REAL_ESTADUAL_FALLBACK,
5101852,Bom Jesus do Araguaia,-12.247408163265307,-51.69703265306122,2026-07-29,Bom Jesus do Araguaia,-12.247408163265307,-51.69703265306122,35.6,23.2,,46.0,5.5,,openmeteo,29.4,40.50424907331573,34.040000000000006,28.049999999999997,p95_proxy_previsao_q70,1.3500000000000014,1,1,0,2,0.0,0,28.25,27.864285714285717,,5.516062268328939,13.485861719954508,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,0,11.4,45.8,0,0,0,0,vermelha,3,UTCI/proxy 34.0 entre 32 e 38; Tmax 35.6 sem gatilho; risco cumulativo 3d 13.49 atingiu vermelha; onda de calor P95 ≥ 2 dias não detectada; pressão assistencial indisponível; ocupação de leitos 54.22 sem gatilho; z-score assistencial indisponível; Autonomia de insumos indisponível/infinita; falhas infraestrutura % indisponível,2026-07-29,54.2227662178703,817,573,443,22,17,13,2026-06-19 10:19:00,INDICASUS_TEMPO_REAL,374.0
5101902,Brasnorte,-12.095446153846154,-58.08860683760684,2026-07-29,Brasnorte,-12.095446153846154,-58.08860683760684,27.8,23.1,,80.0,7.8,,openmeteo,25.450000000000003,31.604625747217863,27.6,27.549999999999997,p95_proxy_previsao_q70,0.0,0,0,0,0,0.0,0,26.849999999999998,27.00714285714286,,0.0,7.795194766486707,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,0,13.6,54.3,0,0,0,0,laranja,2,UTCI/proxy 27.6 entre 26 e 32; Tmax 27.8 sem gatilho; risco cumulativo 3d 7.80 atingiu laranja; onda de calor P95 ≥ 2 dias não detectada; pressão assistencial indisponível; ocupação de leitos 45.65 sem gatilho; z-score assistencial indisponível; Autonomia de insumos indisponível/infinita; falhas infraestrutura % indisponível,2026-07-29,45.6541947478503,,,,,,,,INDICASUS_TEMPO_REAL_ESTADUAL_FALLBACK,
5102504,Cáceres,-16.0728,-57.6818,2026-07-29,Cáceres,-16.470474637681157,-57.83651376811594,34.2,23.7,,62.0,20.2,,openmeteo,28.950000000000003,43.61457313825781,33.28000000000001,30.25,p95_proxy_previsao_q70,0.0,0,0,0,0,0.0,0,28.516666666666666,29.82,,4.183643284564461,11.944378448342254,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,0,13.6,54.3,0,0,0,0,laranja,2,UTCI/proxy 33.3 entre 32 e 38; Tmax 34.2 sem gatilho; risco cumulativo 3d 11.94 atingiu laranja; onda de calor P95 ≥ 2 dias não detectada; pressão assistencial indisponível; ocupação de leitos 45.65 sem gatilho; z-score assistencial indisponível; Autonomia de insumos indisponível/infinita; falhas infraestrutura % indisponível,2026-07-29,45.6541947478503,,,,,,,,INDICASUS_TEMPO_REAL_ESTADUAL_FALLBACK,
5102603,Campinápolis,-14.3188171875,-53.135473437499996,2026-07-29,Campinápolis,-14.3188171875,-53.135473437499996,36.7,24.7,,35.0,10.9,,openmeteo,30.700000000000003,38.78692140841783,34.900000000000006,29.5,p95_proxy_previsao_q70,1.2000000000000028,1,2,1,1,1.2000000000000028,2,30.0,28.964285714285715,,7.296730352104467,16.027593502166738,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,0,13.6,54.3,0,0,0,0,vermelha,3,UTCI/proxy 34.9 entre 32 e 38; Tmax 36.7 sem gatilho; risco cumulativo 3d 16.03 atingiu vermelha; onda de calor P95 ≥ 2 dias detectada; pressão assistencial indisponível; ocupação de leitos 45.65 sem gatilho; z-score assistencial indisponível; Autonomia de insumos indisponível/infinita; falhas infraestrutura % indisponível,2026-07-29,45.6541947478503,,,,,,,,INDICASUS_TEMPO_REAL_ESTADUAL_FALLBACK,
5102637,Campo Novo do Parecis,-13.610937096774194,-57.91726612903226,2026-07-29,Campo Novo do Parecis,-13.610937096774194,-57.91726612903226,32.1,23.4,,64.0,15.3,,openmeteo,27.75,38.590898224175625,31.260000000000005,27.5,p95_proxy_previsao_q70,0.25,1,1,0,2,0.0,0,27.483333333333334,26.885714285714283,,1.8977245560439062,4.134762634932272,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,0,13.6,54.3,0,0,0,0,amarela,1,UTCI/proxy 31.3 entre 26 e 32; Tmax 32.1 sem gatilho; risco cumulativo 3d 4.13 atingiu amarela; onda de calor P95 ≥ 2 dias não detectada; pressão assistencial indisponível; ocupação de leitos 45.65 sem gatilho; z-score assistencial indisponível; Autonomia de insumos indisponível/infinita; falhas infraestrutura % indisponível,2026-07-29,45.6541947478503,,,,,,,,INDICASUS_TEMPO_REAL_ESTADUAL_FALLBACK,
5102678,Campo Verde,-15.436624561403509,-54.99407368421053,2026-07-29,Campo Verde,-15.436624561403509,-54.99407368421053,33.5,24.0,,39.0,15.4,,openmeteo,28.75,34.357863993111145,31.700000000000003,27.589999999999996,p95_proxy_previsao_q70,1.1600000000000037,1,2,1,1,1.1600000000000037,2,28.21666666666667,27.142857142857142,,3.24946599827779,5.940045066506698,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,0,13.6,54.3,0,0,0,0,laranja,2,UTCI/proxy 31.7 entre 26 e 32; Tmax 33.5 sem gatilho; risco cumulativo 3d 5.94 atingiu amarela; onda de calor P95 ≥ 2 dias detectada; pressão assistencial indisponível; ocupação de leitos 45.65 sem gatilho; z-score assistencial indisponível; Autonomia de insumos indisponível/infinita; falhas infraestrutura % indisponível,2026-07-29,45.6541947478503,,,,,,,,INDICASUS_TEMPO_REAL_ESTADUAL_FALLBACK,
