data,cod_ibge,municipio,pm25_ugm3,pm10_ugm3,o3_ugm3,no2_ugm3,co_mgm3,so2_ugm3,fonte,lat,lon,iq_ar_score,qualidade_ar_nivel,poluente_dominante,motivo_qualidade_ar,indice_qualidade_ar_operacional
2026-06-18,5100102,Acorizal,4.027366316256325,4.150613153828514,,,,,copernicus_cams,-15.194419,-56.317774,0,verde,—,qualidade do ar em normalidade operacional,0.0
2026-06-18,5100250,Alta Floresta,31.252266134462094,31.68805098057954,,,,,copernicus_cams,-10.041636,-56.401812,2,laranja,PM2.5,PM2.5 31.3 atingiu laranja,50.0
2026-06-18,5100300,Alto Araguaia,1.8861368120942958,1.9482502294449902,,,,,copernicus_cams,-17.423637,-53.455879,0,verde,—,qualidade do ar em normalidade operacional,0.0
2026-06-18,5100359,Alto Boa Vista,4.22318082465518,4.489938701880609,,,,,copernicus_cams,-11.788879,-51.693836,0,verde,—,qualidade do ar em normalidade operacional,0.0
2026-06-18,5100409,Alto Garças,2.0230349911616186,2.0845832919313314,,,,,copernicus_cams,-16.842348,-53.65356,0,verde,—,qualidade do ar em normalidade operacional,0.0
2026-06-18,5100508,Alto Paraguai,7.914675477096847,8.109398838714931,,,,,copernicus_cams,-14.768815,-56.622695,0,verde,—,qualidade do ar em normalidade operacional,0.0
2026-06-18,5100607,Alto Taquari,2.5546666057095573,2.65195521914945,,,,,copernicus_cams,-17.772902,-53.373599,0,verde,—,qualidade do ar em normalidade operacional,0.0
2026-06-18,5100805,Apiacás,8.33056423843459,8.422769514528655,,,,,copernicus_cams,-8.584873,-58.015049,0,verde,—,qualidade do ar em normalidade operacional,0.0
2026-06-18,5101001,Araguaiana,2.1496131639414986,2.2459573980027723,,,,,copernicus_cams,-15.102484,-51.798525,0,verde,—,qualidade do ar em normalidade operacional,0.0
2026-06-18,5101209,Araguainha,1.6684095894052973,1.7254217160426122,,,,,copernicus_cams,-16.726167,-53.1455,0,verde,—,qualidade do ar em normalidade operacional,0.0
2026-06-18,5101258,Araputanga,3.781893236484865,3.8263387882989597,,,,,copernicus_cams,-15.262616,-58.411897,0,verde,—,qualidade do ar em normalidade operacional,0.0
2026-06-18,5101308,Arenápolis,7.6349977059585274,7.829536352588207,,,,,copernicus_cams,-14.50479,-56.873836,0,verde,—,qualidade do ar em normalidade operacional,0.0
2026-06-18,5101407,Aripuanã,8.27167260176927,8.356477758130655,,,,,copernicus_cams,-10.103419,-59.717893,0,verde,—,qualidade do ar em normalidade operacional,0.0
2026-06-18,5101704,Barra do Bugres,6.577171121461213,6.722717924828919,,,,,copernicus_cams,-15.181086,-57.228979,0,verde,—,qualidade do ar em normalidade operacional,0.0
2026-06-18,5101803,Barra do Garças,1.6006371742744212,1.6601598306860013,,,,,copernicus_cams,-15.357301,-52.463972,0,verde,—,qualidade do ar em normalidade operacional,0.0
2026-06-18,5101605,Barão de Melgaço,2.615437862200675,2.6615939546291516,,,,,copernicus_cams,-16.741619,-56.019345,0,verde,—,qualidade do ar em normalidade operacional,0.0
2026-06-18,5101837,Boa Esperança do Norte,5.023142888566417,5.264869566456345,,,,,copernicus_cams,-13.479509,-55.018363,0,verde,—,qualidade do ar em normalidade operacional,0.0
2026-06-18,5101852,Bom Jesus do Araguaia,3.2663476719126363,3.4335470171721534,,,,,copernicus_cams,-12.202527,-51.777556,0,verde,—,qualidade do ar em normalidade operacional,0.0
2026-06-18,5101902,Brasnorte,9.442883625359185,9.627602767302372,,,,,copernicus_cams,-12.110438,-58.180139,0,verde,—,qualidade do ar em normalidade operacional,0.0
2026-06-18,5102603,Campinápolis,1.9581396471610988,2.014893918378391,,,,,copernicus_cams,-14.257233,-53.187167,0,verde,—,qualidade do ar em normalidade operacional,0.0
2026-06-18,5102637,Campo Novo do Parecis,7.252716858458291,7.434823149289533,,,,,copernicus_cams,-13.658178,-57.886604,0,verde,—,qualidade do ar em normalidade operacional,0.0
2026-06-18,5102678,Campo Verde,4.131382210193588,4.247387187059898,,,,,copernicus_cams,-15.424947,-55.01538,0,verde,—,qualidade do ar em normalidade operacional,0.0
2026-06-18,5102686,Campos de Júlio,5.3517310452503235,5.409113039831101,,,,,copernicus_cams,-13.575484,-59.227259,0,verde,—,qualidade do ar em normalidade operacional,0.0
2026-06-18,5102694,Canabrava do Norte,4.507900941419507,4.817261733305061,,,,,copernicus_cams,-11.231803,-51.798795,0,verde,—,qualidade do ar em normalidade operacional,0.0
2026-06-18,5102702,Canarana,2.6371060882376463,2.732431328585981,,,,,copernicus_cams,-13.19294,-52.626255,0,verde,—,qualidade do ar em normalidade operacional,0.0
2026-06-18,5102793,Carlinda,7.698677747590503,7.80995210986395,,,,,copernicus_cams,-10.065037,-55.748575,0,verde,—,qualidade do ar em normalidade operacional,0.0
2026-06-18,5102850,Castanheira,7.834987247225827,7.937427055495886,,,,,copernicus_cams,-10.93426,-58.639923,0,verde,—,qualidade do ar em normalidade operacional,0.0
2026-06-18,5103007,Chapada dos Guimarães,3.335519220303742,3.4576105932630528,,,,,copernicus_cams,-15.100772,-55.502604,0,verde,—,qualidade do ar em normalidade operacional,0.0
2026-06-18,5103056,Cláudia,12.973987661979436,13.448416942154875,,,,,copernicus_cams,-11.479047,-55.067183,0,verde,—,qualidade do ar em normalidade operacional,0.0
2026-06-18,5103106,Cocalinho,2.875378010038526,3.0084962168556095,,,,,copernicus_cams,-13.845787,-51.227067,0,verde,—,qualidade do ar em normalidade operacional,0.0
2026-06-18,5103254,Colniza,7.595798944075059,7.671123631738777,,,,,copernicus_cams,-9.423026,-59.430077,0,verde,—,qualidade do ar em normalidade operacional,0.0
2026-06-18,5103205,Colíder,7.492671920814206,7.641548309155657,,,,,copernicus_cams,-10.571782,-55.436294,0,verde,—,qualidade do ar em normalidade operacional,0.0
2026-06-18,5103304,Comodoro,6.234735107276091,6.297595386349579,,,,,copernicus_cams,-13.194806,-59.843108,0,verde,—,qualidade do ar em normalidade operacional,0.0
2026-06-18,5103353,Confresa,5.558384471647608,5.8978157913003315,,,,,copernicus_cams,-10.408326,-51.73713,0,verde,—,qualidade do ar em normalidade operacional,0.0
2026-06-18,5103361,Conquista D'Oeste,4.686809959738645,4.741394544956446,,,,,copernicus_cams,-14.619747,-59.312838,0,verde,—,qualidade do ar em normalidade operacional,0.0
2026-06-18,5103379,Cotriguaçu,8.25520261299777,8.345221951386481,,,,,copernicus_cams,-9.465337,-58.627496,0,verde,—,qualidade do ar em normalidade operacional,0.0
2026-06-18,5103403,Cuiabá,4.885819637756583,5.006038890609896,,,,,copernicus_cams,-15.529879,-55.88641,0,verde,—,qualidade do ar em normalidade operacional,0.0
2026-06-18,5103437,Curvelândia,3.7164133927154976,3.794712981750212,,,,,copernicus_cams,-15.622625,-57.876116,0,verde,—,qualidade do ar em normalidade operacional,0.0
2026-06-18,5102504,Cáceres,2.652949503869367,2.6829980230977544,,,,,copernicus_cams,-16.540866,-57.792111,0,verde,—,qualidade do ar em normalidade operacional,0.0
2026-06-18,5103452,Denise,7.914675477096847,8.109398838714931,,,,,copernicus_cams,-14.722221,-56.954459,0,verde,—,qualidade do ar em normalidade operacional,0.0
2026-06-18,5103502,Diamantino,5.15018959505486,5.294277055971761,,,,,copernicus_cams,-14.136012,-57.206328,0,verde,—,qualidade do ar em normalidade operacional,0.0
2026-06-18,5103601,Dom Aquino,2.4419594777652978,2.5087831991582275,,,,,copernicus_cams,-15.672554,-54.818673,0,verde,—,qualidade do ar em normalidade operacional,0.0
2026-06-18,5103700,Feliz Natal,14.077988213087753,14.728261002951077,,,,,copernicus_cams,-11.849333,-53.929974,0,verde,—,qualidade do ar em normalidade operacional,0.0
2026-06-18,5103809,Figueirópolis D'Oeste,3.24867709204401,3.2765214528479905,,,,,copernicus_cams,-15.493809,-58.724442,0,verde,—,qualidade do ar em normalidade operacional,0.0
2026-06-18,5103858,Gaúcha do Norte,8.470985752720264,8.803230464854755,,,,,copernicus_cams,-12.872582,-53.355287,0,verde,—,qualidade do ar em normalidade operacional,0.0
2026-06-18,5103908,General Carneiro,1.7427388249822413,1.7936898257536422,,,,,copernicus_cams,-15.548654,-53.493836,0,verde,—,qualidade do ar em normalidade operacional,0.0
2026-06-18,5103957,Glória D'Oeste,2.4559116080660583,2.470653988585023,,,,,copernicus_cams,-15.870118,-58.27924,0,verde,—,qualidade do ar em normalidade operacional,0.0
2026-06-18,5104104,Guarantã do Norte,6.107386335225542,6.307290297889816,,,,,copernicus_cams,-9.780221,-54.575323,0,verde,—,qualidade do ar em normalidade operacional,0.0
2026-06-18,5104203,Guiratinga,2.1330834190483805,2.2007603615298623,,,,,copernicus_cams,-16.377467,-53.657527,0,verde,—,qualidade do ar em normalidade operacional,0.0
2026-06-18,5104500,Indiavaí,3.749070550739057,3.7821910962609246,,,,,copernicus_cams,-15.33262,-58.605357,0,verde,—,qualidade do ar em normalidade operacional,0.0
2026-06-18,5104526,Ipiranga do Norte,8.139766403386977,8.396796499939917,,,,,copernicus_cams,-11.944374,-56.054347,0,verde,—,qualidade do ar em normalidade operacional,0.0
2026-06-18,5104542,Itanhangá,10.506578456921249,10.771585427537435,,,,,copernicus_cams,-12.143452,-56.739634,0,verde,—,qualidade do ar em normalidade operacional,0.0
2026-06-18,5104559,Itaúba,9.839080922551387,10.13679488061277,,,,,copernicus_cams,-11.125087,-55.579226,0,verde,—,qualidade do ar em normalidade operacional,0.0
2026-06-18,5104609,Itiquira,1.8562835541567053,1.8989786752880466,,,,,copernicus_cams,-17.298017,-54.561162,0,verde,—,qualidade do ar em normalidade operacional,0.0
2026-06-18,5104807,Jaciara,4.893133982964524,5.018834916286858,,,,,copernicus_cams,-15.966897,-55.177772,0,verde,—,qualidade do ar em normalidade operacional,0.0
2026-06-18,5104906,Jangada,4.027366316256325,4.150613153828514,,,,,copernicus_cams,-15.328601,-56.586054,0,verde,—,qualidade do ar em normalidade operacional,0.0
2026-06-18,5105002,Jauru,3.749070550739057,3.7821910962609246,,,,,copernicus_cams,-15.300119,-58.853833,0,verde,—,qualidade do ar em normalidade operacional,0.0
2026-06-18,5105101,Juara,10.913700165815499,11.095317396873671,,,,,copernicus_cams,-11.229416,-57.652577,0,verde,—,qualidade do ar em normalidade operacional,0.0
2026-06-18,5105176,Juruena,8.040310064797374,8.144224040260978,,,,,copernicus_cams,-10.459866,-58.617831,0,verde,—,qualidade do ar em normalidade operacional,0.0
2026-06-18,5105200,Juscimeira,2.9924330195147166,3.0664133470976607,,,,,copernicus_cams,-16.200133,-55.014262,0,verde,—,qualidade do ar em normalidade operacional,0.0
2026-06-18,5105150,Juína,7.765115583215648,7.844879464989711,,,,,copernicus_cams,-11.492327,-59.174631,0,verde,—,qualidade do ar em normalidade operacional,0.0
2026-06-18,5105234,Lambari D'Oeste,4.058451718482475,4.147175407009276,,,,,copernicus_cams,-15.452914,-57.718103,0,verde,—,qualidade do ar em normalidade operacional,0.0
2026-06-18,5105259,Lucas do Rio Verde,7.567322232889872,7.826868081755164,,,,,copernicus_cams,-13.047849,-56.183072,0,verde,—,qualidade do ar em normalidade operacional,0.0
2026-06-18,5105309,Luciara,5.611795165815683,5.99857412108453,,,,,copernicus_cams,-10.979749,-50.933428,0,verde,—,qualidade do ar em normalidade operacional,0.0
