cod_ibge,municipio,regional_saude,data_referencia,fila_media_h,tempo_espera_h,solicitacoes_abertas,fonte,atualizado_em
5103809,Figueirópolis D'Oeste,,2026-08-29,3820.5622738457087,3820.5622738457087,341,SISREG_LIVE:10.15.1.71,2026-08-29T17:08:13
5103858,Gaúcha do Norte,,2026-08-29,4138.324945361826,4138.324945361826,655,SISREG_LIVE:10.15.1.71,2026-08-29T17:08:13
5103908,General Carneiro,,2026-08-29,3953.83782051282,3953.83782051282,305,SISREG_LIVE:10.15.1.71,2026-08-29T17:08:13
5103957,Glória D'Oeste,,2026-08-29,4124.067578772802,4124.067578772802,278,SISREG_LIVE:10.15.1.71,2026-08-29T17:08:13
5104104,Guarantã do Norte,,2026-08-29,3943.9491143809482,3943.9491143809482,3090,SISREG_LIVE:10.15.1.71,2026-08-29T17:08:13
5104203,Guiratinga,,2026-08-29,4014.0259264024703,4014.0259264024703,415,SISREG_LIVE:10.15.1.71,2026-08-29T17:08:13
5104500,Indiavaí,,2026-08-29,3809.1326530612246,3809.1326530612246,260,SISREG_LIVE:10.15.1.71,2026-08-29T17:08:13
5104526,Ipiranga do Norte,,2026-08-29,3663.0593967229397,3663.0593967229397,615,SISREG_LIVE:10.15.1.71,2026-08-29T17:08:13
5104542,Itanhangá,,2026-08-29,3079.738265002971,3079.738265002971,669,SISREG_LIVE:10.15.1.71,2026-08-29T17:08:13
5104559,Itaúba,,2026-08-29,3732.2289428854137,3732.2289428854137,1166,SISREG_LIVE:10.15.1.71,2026-08-29T17:08:13
5104609,Itiquira,,2026-08-29,3463.5907619567197,3463.5907619567197,679,SISREG_LIVE:10.15.1.71,2026-08-29T17:08:13
5104807,Jaciara,,2026-08-29,3489.9349569374745,3489.9349569374745,1027,SISREG_LIVE:10.15.1.71,2026-08-29T17:08:13
5104906,Jangada,,2026-08-29,3959.228733660794,3959.228733660794,1857,SISREG_LIVE:10.15.1.71,2026-08-29T17:08:13
5105002,Jauru,,2026-08-29,3786.3596365375415,3786.3596365375415,505,SISREG_LIVE:10.15.1.71,2026-08-29T17:08:13
5105101,Juara,,2026-08-29,3803.239472509974,3803.239472509974,2785,SISREG_LIVE:10.15.1.71,2026-08-29T17:08:13
5105150,Juína,,2026-08-29,3503.4670079585085,3503.4670079585085,4432,SISREG_LIVE:10.15.1.71,2026-08-29T17:08:13
5105176,Juruena,,2026-08-29,4549.353140802337,4549.353140802337,919,SISREG_LIVE:10.15.1.71,2026-08-29T17:08:13
5105200,Juscimeira,,2026-08-29,3929.4209198113203,3929.4209198113203,853,SISREG_LIVE:10.15.1.71,2026-08-29T17:08:13
5105234,Lambari D'Oeste,,2026-08-29,4224.40822870076,4224.40822870076,636,SISREG_LIVE:10.15.1.71,2026-08-29T17:08:13
5105259,Lucas do Rio Verde,,2026-08-29,3358.3800186050194,3358.3800186050194,5155,SISREG_LIVE:10.15.1.71,2026-08-29T17:08:13
5105309,Luciara,,2026-08-29,4940.458333333334,4940.458333333334,177,SISREG_LIVE:10.15.1.71,2026-08-29T17:08:13
5105580,Marcelândia,,2026-08-29,3661.3631773908282,3661.3631773908282,1436,SISREG_LIVE:10.15.1.71,2026-08-29T17:08:13
5105606,Matupá,,2026-08-29,2890.02665261327,2890.02665261327,5615,SISREG_LIVE:10.15.1.71,2026-08-29T17:08:13
5105622,Mirassol d'Oeste,,2026-08-29,3745.73546681093,3745.73546681093,2830,SISREG_LIVE:10.15.1.71,2026-08-29T17:08:13
5105903,Nobres,,2026-08-29,3654.1397105903443,3654.1397105903443,1404,SISREG_LIVE:10.15.1.71,2026-08-29T17:08:13
5106000,Nortelândia,,2026-08-29,4493.177521761392,4493.177521761392,1007,SISREG_LIVE:10.15.1.71,2026-08-29T17:08:13
5106109,Nossa Senhora do Livramento,,2026-08-29,3805.8008325157853,3805.8008325157853,6583,SISREG_LIVE:10.15.1.71,2026-08-29T17:08:13
5106158,Nova Bandeirantes,,2026-08-29,2948.5473049245097,2948.5473049245097,1606,SISREG_LIVE:10.15.1.71,2026-08-29T17:08:13
5106208,Nova Brasilândia,,2026-08-29,4602.760289400041,4602.760289400041,706,SISREG_LIVE:10.15.1.71,2026-08-29T17:08:13
5106216,Nova Canaã do Norte,,2026-08-29,3734.834946236559,3734.834946236559,1650,SISREG_LIVE:10.15.1.71,2026-08-29T17:08:13
5108808,Nova Guarita,,2026-08-29,3819.8660218286386,3819.8660218286386,893,SISREG_LIVE:10.15.1.71,2026-08-29T17:08:13
5106182,Nova Lacerda,,2026-08-29,3638.6234167595503,3638.6234167595503,698,SISREG_LIVE:10.15.1.71,2026-08-29T17:08:13
5108857,Nova Marilândia,,2026-08-29,3315.6250307351856,3315.6250307351856,547,SISREG_LIVE:10.15.1.71,2026-08-29T17:08:13
5108907,Nova Maringá,,2026-08-29,3683.450973731884,3683.450973731884,622,SISREG_LIVE:10.15.1.71,2026-08-29T17:08:13
5108956,Nova Monte Verde,,2026-08-29,3925.904535604304,3925.904535604304,965,SISREG_LIVE:10.15.1.71,2026-08-29T17:08:13
5106224,Nova Mutum,,2026-08-29,2978.8984542918333,2978.8984542918333,4889,SISREG_LIVE:10.15.1.71,2026-08-29T17:08:13
5106174,Nova Nazaré,,2026-08-29,3962.578025477707,3962.578025477707,221,SISREG_LIVE:10.15.1.71,2026-08-29T17:08:13
5106232,Nova Olímpia,,2026-08-29,3853.7346829640946,3853.7346829640946,1917,SISREG_LIVE:10.15.1.71,2026-08-29T17:08:13
5106190,Nova Santa Helena,,2026-08-29,3879.0146521244083,3879.0146521244083,858,SISREG_LIVE:10.15.1.71,2026-08-29T17:08:13
5106240,Nova Ubiratã,,2026-08-29,3460.6749494949495,3460.6749494949495,1041,SISREG_LIVE:10.15.1.71,2026-08-29T17:08:13
5106257,Nova Xavantina,,2026-08-29,3893.2841360108996,3893.2841360108996,1197,SISREG_LIVE:10.15.1.71,2026-08-29T17:08:13
5106273,Novo Horizonte do Norte,,2026-08-29,3803.0307653219033,3803.0307653219033,803,SISREG_LIVE:10.15.1.71,2026-08-29T17:08:13
5106265,Novo Mundo,,2026-08-29,3375.065598696054,3375.065598696054,1450,SISREG_LIVE:10.15.1.71,2026-08-29T17:08:13
5106315,Novo Santo Antônio,,2026-08-29,4085.567105263158,4085.567105263158,158,SISREG_LIVE:10.15.1.71,2026-08-29T17:08:13
5106281,Novo São Joaquim,,2026-08-29,4818.089530784763,4818.089530784763,601,SISREG_LIVE:10.15.1.71,2026-08-29T17:08:13
5106299,Paranaíta,,2026-08-29,3410.778048780488,3410.778048780488,733,SISREG_LIVE:10.15.1.71,2026-08-29T17:08:13
5106307,Paranatinga,,2026-08-29,4077.110381175562,4077.110381175562,862,SISREG_LIVE:10.15.1.71,2026-08-29T17:08:13
5106372,Pedra Preta,,2026-08-29,3836.0349206349206,3836.0349206349206,756,SISREG_LIVE:10.15.1.71,2026-08-29T17:08:13
